,Id,Year_Birth,Income
0,1826,1970,84835.0
1,1,1961,57091.0
2,10476,1958,67267.0
3,1386,1967,32474.0
4,5371,1989,21474.0
5,7348,1958,71691.0
6,4073,1954,63564.0
7,1991,1967,44931.0
8,4047,1954,65324.0
9,9477,1954,65324.0
10,2079,1947,81044.0
11,5642,1979,62499.0
12,10530,1959,67786.0
13,2964,1981,26872.0
14,10311,1969,4428.0
15,837,1977,54809.0
16,10521,1977,54809.0
17,10175,1958,32173.0
18,1473,1960,47823.0
19,2795,1958,30523.0
20,2285,1954,36634.0
21,115,1966,43456.0
22,10470,1979,40662.0
23,4065,1976,49544.0
24,10968,1969,57731.0
25,5985,1965,33168.0
26,5430,1956,54450.0
27,8432,1956,54450.0
28,453,1956,35340.0
29,9687,1975,73170.0
30,8890,1971,65808.0
31,9264,1986,79529.0
32,5824,1972,34578.0
33,5794,1974,46374.0
34,3068,1990,18351.0
35,7962,1987,95169.0
36,2681,1984,65370.0
37,10141,1960,39228.0
38,3725,1961,84865.0
39,3767,1968,61314.0
40,5585,1972,21359.0
41,7030,1955,66465.0
42,1524,1983,81698.0
43,3657,1986,39146.0
44,5740,1970,25959.0
45,9595,1961,64260.0
46,3158,1973,32300.0
47,5114,1965,74806.0
48,340,1970,72967.0
49,8805,1960,48904.0
50,1241,1984,14796.0
51,1402,1954,66991.0
52,7264,1978,52195.0
53,1619,1956,90369.0
54,6398,1974,18393.0
55,1857,1952,47139.0
56,4877,1973,38576.0
57,3066,1975,61905.0
58,10286,1962,83715.0
59,1992,1964,60597.0
60,4246,1982,6560.0
61,10623,1961,48330.0
62,4867,1968,38236.0
63,3112,1977,22701.0
64,4865,1974,53367.0
65,6287,1986,34728.0
66,4405,1956,63915.0
67,5332,1960,82504.0
68,1519,1972,38578.0
69,9080,1972,38578.0
70,1772,1975,79174.0
71,5341,1962,81975.0
72,5510,1977,43263.0
73,3887,1970,27242.0
74,7022,1971,76445.0
75,9999,1965,75276.0
76,10352,1963,34213.0
77,7919,1976,72335.0
78,4114,1964,79143.0
79,7990,1947,27469.0
80,9888,1969,68695.0
81,4399,1969,68695.0
82,4452,1957,50388.0
83,4785,1970,77622.0
84,8461,1962,46102.0
85,3878,1980,31859.0
86,9612,1987,23830.0
87,4098,1973,24639.0
